"filename", "language", "JavaScript", "PHP", "PostCSS", "Markdown", "JSON", "XML", "comment", "blank", "total"
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\Providers\RouteServiceProvider.php", "PHP", 0, 24, 0, 0, 0, 0, 10, 7, 41
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\View\Components\AppLayout.php", "PHP", 0, 11, 0, 0, 0, 0, 3, 4, 18
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\app\View\Components\GuestLayout.php", "PHP", 0, 11, 0, 0, 0, 0, 3, 4, 18
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\bootstrap\app.php", "PHP", 0, 17, 0, 0, 0, 0, 30, 9, 56
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\composer.json", "JSON", 0, 0, 0, 0, 69, 0, 0, 1, 70
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\composer.lock", "JSON", 0, 0, 0, 0, 8399, 0, 0, 1, 8400
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\app.php", "PHP", 0, 28, 0, 0, 0, 0, 130, 31, 189
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\auth.php", "PHP", 0, 28, 0, 0, 0, 0, 74, 14, 116
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\broadcasting.php", "PHP", 0, 36, 0, 0, 0, 0, 23, 13, 72
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\cache.php", "PHP", 0, 59, 0, 0, 0, 0, 34, 19, 112
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\cors.php", "PHP", 0, 3, 0, 0, 0, 0, 29, 3, 35
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\database.php", "PHP", 0, 83, 0, 0, 0, 0, 47, 22, 152
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\filesystems.php", "PHP", 0, 32, 0, 0, 0, 0, 32, 13, 77
